U.S. Forest Service,,,,,
Forest Products Financial System,,,,,
Contracts - FPFS_12.1.S,,,,,
"On the July, 2020 Close",,,,,
Run Date: 08/14/2020 16:46:12 - For USFS Use Only,,,,,
"RegionCode","RegionName","ForestCode","ForestName","DistrictCode","DistrictName"
01,Northern,17,Nez Perce-Clearwater,53,North Fork
01,Northern,17,Nez Perce-Clearwater,53,North Fork
01,Northern,17,Nez Perce-Clearwater,55,Lochsa-Powell
01,Northern,17,Nez Perce-Clearwater,55,Lochsa-Powell
01,Northern,17,Nez Perce-Clearwater,55,Lochsa-Powell
01,Northern,17,Nez Perce-Clearwater,55,Lochsa-Powell
01,Northern,17,Nez Perce-Clearwater,55,Lochsa-Powell
01,Northern,17,Nez Perce-Clearwater,55,Lochsa-Powell
01,Northern,17,Nez Perce-Clearwater,55,Lochsa-Powell
01,Northern,17,Nez Perce-Clearwater,55,Lochsa-Powell
01,Northern,17,Nez Perce-Clearwater,55,Lochsa-Powell
02,Rocky Mountain,02,Bighorn,01,Powder River
02,Rocky Mountain,02,Bighorn,01,Powder River
02,Rocky Mountain,02,Bighorn,01,Powder River
02,Rocky Mountain,02,Bighorn,01,Powder River
02,Rocky Mountain,02,Bighorn,01,Powder River
02,Rocky Mountain,02,Bighorn,03,Medicine Wheel
02,Rocky Mountain,02,Bighorn,03,Medicine Wheel
02,Rocky Mountain,02,Bighorn,03,Medicine Wheel
02,Rocky Mountain,02,Bighorn,03,Medicine Wheel
02,Rocky Mountain,02,Bighorn,06,Tongue
02,Rocky Mountain,02,Bighorn,06,Tongue
02,Rocky Mountain,02,Bighorn,06,Tongue
02,Rocky Mountain,02,Bighorn,06,Tongue
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,01,Bearlodge
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,03,Hell Canyon
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
02,Rocky Mountain,03,Black Hills,06,Mystic
